Timestamp;K1;K2;L1;L2;M1;M2;T1;T2;T3;T4
01/01/1997;4,65;3,75;2,59;2,22;3,62;2,64;;;;
01/02/1997;4,65;3,75;2,59;2,22;3,62;2,64;;;;
01/03/1997;4,65;3,75;2,59;2,22;3,62;2,64;;;;
01/04/1997;4,61;3,72;2,57;2,21;3,59;2,62;;;;
01/05/1997;4,61;3,72;2,57;2,21;3,59;2,62;;;;
01/06/1997;4,61;3,72;2,57;2,21;3,59;2,62;;;;
01/07/1997;4,61;3,72;2,57;2,21;3,59;2,62;;;;
01/08/1997;4,61;3,72;2,57;2,21;3,59;2,62;;;;
01/09/1997;4,62;3,73;2,56;2,2;3,59;2,6;;;;
01/10/1997;4,62;3,73;2,56;2,2;3,59;2,6;;;;
01/11/1997;4,56;3,76;2,56;2,2;3,62;2,6;;;;
01/12/1997;4,56;3,76;2,56;2,2;3,62;2,6;;;;
01/01/1998;4,61;3,78;2,57;2,21;3,67;2,64;;;;
01/02/1998;4,62;3,79;2,57;2,21;3,67;2,64;;;;
01/03/1998;4,61;3,79;2,59;2,22;3,66;2,64;;;;
01/04/1998;4,61;3,79;2,59;2,22;3,66;2,64;;;;
01/05/1998;4,62;3,81;2,59;2,22;3,67;2,64;;;;
01/06/1998;4,62;3,82;2,59;2,22;3,68;2,64;;;;
01/07/1998;4,62;3,82;2,59;2,22;3,68;2,64;;;;
01/08/1998;4,65;3,81;2,59;2,22;3,68;2,65;;;;
01/09/1998;4,64;3,82;2,6;2,22;3,7;2,65;;;;
01/10/1998;4,65;3,82;2,6;2,23;3,7;2,65;;;;
01/11/1998;4,7;3,87;2,62;2,23;3,7;2,65;;;;
01/12/1998;4,71;3,88;2,62;2,24;3,71;2,66;;;;
01/01/1999;4,73;3,89;2,66;2,27;3,73;2,68;;;;
01/02/1999;4,73;3,9;2,66;2,28;3,73;2,68;;;;
01/03/1999;4,73;3,9;2,68;2,31;3,77;2,72;;;;
01/04/1999;4,73;3,89;2,7;2,31;3,76;2,73;;;;
01/05/1999;4,73;3,89;2,7;2,31;3,76;2,73;;;;
01/06/1999;4,72;3,89;2,7;2,32;3,76;2,73;;;;
01/07/1999;4,68;3,9;2,7;2,32;3,77;2,73;;;;
