Timestamp;K1;K2;L1;L2;M1;M2;day;month;year
1997-01-01;4,82;4,38;3,45;2,77;4,26;3,66;1;1;1997
1997-02-01;4,82;4,38;3,45;2,77;4,26;3,66;1;2;1997
1997-03-01;4,82;4,38;3,45;2,77;4,26;3,66;1;3;1997
1997-04-01;4,83;4,39;3,42;2,75;4,28;3,65;1;4;1997
1997-05-01;4,83;4,39;3,42;2,75;4,28;3,65;1;5;1997
1997-06-01;4,83;4,39;3,42;2,75;4,28;3,65;1;6;1997
1997-07-01;4,83;4,39;3,42;2,75;4,28;3,65;1;7;1997
1997-08-01;4,83;4,39;3,42;2,75;4,28;3,65;1;8;1997
1997-09-01;4,79;4,36;3,35;2,74;4,23;3,62;1;9;1997
1997-10-01;4,79;4,36;3,35;2,74;4,23;3,62;1;10;1997
1997-11-01;4,79;4,37;3,4;2,74;4,24;3,63;1;11;1997
1997-12-01;4,79;4,37;3,4;2,74;4,24;3,63;1;12;1997
1998-01-01;4,76;4,36;3,42;2,78;4,23;3,64;1;1;1998
1998-02-01;4,76;4,36;3,42;2,78;4,23;3,64;1;2;1998
1998-03-01;4,75;4,36;3,4;2,76;4,21;3,62;1;3;1998
1998-04-01;4,76;4,36;3,41;2,78;4,22;3,61;1;4;1998
1998-05-01;4,71;4,32;3,39;2,77;4,19;3,59;1;5;1998
1998-06-01;4,7;4,31;3,38;2,75;4,18;3,58;1;6;1998
1998-07-01;4,69;4,31;3,37;2,75;4,18;3,58;1;7;1998
1998-08-01;4,67;4,3;3,36;2,74;4,17;3,57;1;8;1998
1998-09-01;4,52;4,17;3,24;2,65;3,98;3,41;1;9;1998
1998-10-01;4,46;4,13;3,18;2,6;3,93;3,36;1;10;1998
1998-11-01;4,18;3,92;3,02;2,47;3,61;3,18;1;11;1998
1998-12-01;4,17;3,91;3,01;2,47;3,6;3,18;1;12;1998
1999-01-01;4,12;3,88;2,98;2,43;3,52;3,13;1;1;1999
1999-02-01;4,12;3,87;2,98;2,43;3,52;3,13;1;2;1999
1999-03-01;4,11;3,86;2,96;2,42;3,51;3,12;1;3;1999
1999-04-01;4,08;3,84;2,94;2,4;3,48;3,1;1;4;1999
1999-05-01;4,07;3,84;2,94;2,4;3,47;3,09;1;5;1999
1999-06-01;4,06;3,83;2,92;2,38;3,46;3,08;1;6;1999
1999-07-01;4,03;3,81;2,89;2,35;3,42;3,06;1;7;1999
1999-08-01;4,03;3,81;2,89;2,35;3,42;3,06;1;8;1999
1999-09-01;3,99;3,77;2,87;2,34;3,37;3,03;1;9;1999
1999-10-01;3,97;3,76;2,86;2,33;3,36;3,01;1;10;1999
1999-11-01;3,96;3,75;2,85;2,32;3,35;3,01;1;11;1999
1999-12-01;3,96;3,75;2,84;2,32;3,34;3,0;1;12;1999
2000-01-01;3,96;3,73;2,84;2,32;3,31;2,98;1;1;2000
2000-02-01;3,95;3,72;2,82;2,31;3,3;2,98;1;2;2000
2000-03-01;3,95;3,72;2,82;2,3;3,3;2,98;1;3;2000
2000-04-01;3,95;3,72;2,82;2,3;3,3;2,98;1;4;2000
2000-05-01;3,94;3,72;2,82;2,3;3,29;2,98;1;5;2000
2000-06-01;3,94;3,71;2,82;2,3;3,29;2,97;1;6;2000
2000-07-01;3,94;3,7;2,8;2,3;3,23;2,94;1;7;2000
2000-08-01;3,94;3,7;2,8;2,29;3,23;2,94;1;8;2000
2000-09-01;3,93;3,67;2,79;2,28;3,19;2,9;1;9;2000
2000-10-01;3,99;3,67;2,78;2,27;3,18;2,9;1;10;2000
2000-11-01;3,98;3,67;2,77;2,27;3,18;2,89;1;11;2000
2000-12-01;3,98;3,67;2,77;2,27;3,18;2,89;1;12;2000
2001-01-01;3,98;3,66;2,76;2,26;3,16;2,88;1;1;2001
2001-02-01;3,98;3,66;2,77;2,27;3,15;2,88;1;2;2001
2001-03-01;3,99;3,67;2,77;2,28;3,15;2,88;1;3;2001
2001-04-01;3,99;3,67;2,78;2,28;3,16;2,88;1;4;2001
2001-05-01;4,02;3,69;2,79;2,29;3,18;2,9;1;5;2001
2001-06-01;4,08;3,72;2,83;2,33;3,23;2,94;1;6;2001
2001-07-01;4,19;3,79;2,87;2,39;3,29;2,99;1;7;2001
2001-08-01;4,24;3,82;2,91;2,42;3,32;3,01;1;8;2001
2001-09-01;4,34;3,9;3,02;2,54;3,42;3,1;1;9;2001
2001-10-01;4,44;3,97;3,09;2,61;3,48;3,16;1;10;2001
2001-11-01;4,45;3,99;3,1;2,62;3,5;3,17;1;11;2001
2001-12-01;4,45;3,99;3,1;2,63;3,51;3,18;1;12;2001
2002-01-01;4,53;4,05;3,18;2,72;3,57;3,24;1;1;2002
2002-02-01;4,53;4,05;3,18;2,72;3,57;3,24;1;2;2002
2002-03-01;4,54;4,05;3,19;2,73;3,57;3,25;1;3;2002
2002-04-01;4,55;4,07;3,2;2,74;3,58;3,26;1;4;2002
2002-05-01;4,56;4,07;3,2;2,74;3,59;3,26;1;5;2002
2002-06-01;4,59;4,09;3,21;2,75;3,61;3,28;1;6;2002
2002-07-01;4,59;4,09;3,21;2,75;3,61;3,28;1;7;2002
2002-08-01;4,69;4,14;3,26;2,8;3,66;3,32;1;8;2002
2002-09-01;4,69;4,14;3,26;2,8;3,66;3,32;1;9;2002
2002-10-01;4,7;4,14;3,26;2,81;3,67;3,32;1;10;2002
2002-11-01;4,73;4,17;3,27;2,82;3,69;3,34;1;11;2002
2002-12-01;4,76;4,19;3,3;2,85;3,72;3,39;1;12;2002
2003-01-01;5,0;4,39;3,46;3,03;3,88;3,53;1;1;2003
2003-02-01;5,22;4,58;3,69;3,25;4,02;3,68;1;2;2003
2003-03-01;5,45;4,8;3,88;3,42;4,19;3,84;1;3;2003
2003-04-01;5,77;4,98;4,13;3,67;4,46;4,12;1;4;2003
2003-05-01;5,81;4,99;4,17;3,71;4,5;4,16;1;5;2003
2003-06-01;5,81;4,99;4,18;3,72;4,5;4,16;1;6;2003
2003-07-01;5,8;4,96;4,17;3,71;4,51;4,17;1;7;2003
2003-08-01;5,83;5,0;4,18;3,72;4,53;4,19;1;8;2003
2003-09-01;5,83;5,0;4,18;3,72;4,53;4,19;1;9;2003
2003-10-01;5,84;5,0;4,19;3,73;4,54;4,2;1;10;2003
2003-11-01;5,86;5,01;4,2;3,74;4,56;4,21;1;11;2003
2003-12-01;5,87;5,02;4,21;3,75;4,57;4,22;1;12;2003
2004-01-01;5,92;5,06;4,25;3,8;4,61;4,27;1;1;2004
2004-02-01;5,93;5,08;4,26;3,81;4,63;4,28;1;2;2004
2004-03-01;5,93;5,07;4,26;3,81;4,63;4,28;1;3;2004
2004-04-01;5,74;4,85;4,11;3,69;4,46;4,12;1;4;2004
2004-05-01;5,71;4,82;4,08;3,67;4,43;4,09;1;5;2004
2004-06-01;5,71;4,81;4,07;3,66;4,42;4,09;1;6;2004
2004-07-01;5,7;4,81;4,06;3,65;4,42;4,08;1;7;2004
2004-08-01;5,7;4,81;4,06;3,65;4,42;4,08;1;8;2004
2004-09-01;5,7;4,81;4,06;3,65;4,42;4,08;1;9;2004
2004-10-01;5,66;4,77;4,03;3,62;4,39;4,06;1;10;2004
2004-11-01;5,67;4,77;4,03;3,63;4,39;4,06;1;11;2004
2004-12-01;5,67;4,77;4,03;3,63;4,39;4,06;1;12;2004
2005-01-01;5,64;4,75;4,03;3,64;4,38;4,05;1;1;2005
2005-02-01;5,58;4,72;3,99;3,62;4,36;4,02;1;2;2005
2005-03-01;5,57;4,71;3,98;3,61;4,35;4,01;1;3;2005
2005-04-01;5,52;4,67;3,95;3,59;4,31;3,99;1;4;2005
2005-05-01;5,46;4,62;3,92;3,57;4,28;3,96;1;5;2005
2005-06-01;5,47;4,62;3,92;3,57;4,28;3,96;1;6;2005
2005-07-01;5,46;4,61;3,92;3,57;4,27;3,95;1;7;2005
2005-08-01;5,46;4,61;3,92;3,57;4,27;3,95;1;8;2005
2005-09-01;5,62;4,72;4,06;3,7;4,37;4,06;1;9;2005
2005-10-01;5,69;4,78;4,1;3,74;4,43;4,13;1;10;2005
2005-11-01;5,74;4,82;4,15;3,8;4,48;4,17;1;11;2005
2005-12-01;5,78;4,84;4,18;3,82;4,49;4,21;1;12;2005
2006-01-01;5,94;4,96;4,31;3,96;4,6;4,33;1;1;2006
2006-02-01;5,94;4,97;4,33;3,98;4,62;4,34;1;2;2006
2006-03-01;6,0;5,07;4,39;4,02;4,7;4,45;1;3;2006
2006-04-01;6,03;5,09;4,41;4,05;4,71;4,47;1;4;2006
2006-05-01;6,08;5,13;4,43;4,07;4,75;4,51;1;5;2006
2006-06-01;6,27;5,25;4,56;4,19;4,86;4,61;1;6;2006
2006-07-01;6,34;5,3;4,64;4,26;4,92;4,67;1;7;2006
2006-08-01;6,42;5,37;4,67;4,3;4,99;4,74;1;8;2006
2006-09-01;6,43;5,38;4,69;4,31;5,0;4,75;1;9;2006
2006-10-01;6,45;5,4;4,71;4,33;5,02;4,77;1;10;2006
2006-11-01;6,59;5,52;4,82;4,44;5,13;4,88;1;11;2006
2006-12-01;6,64;5,57;4,85;4,47;5,19;4,93;1;12;2006
2007-01-01;6,72;5,64;4,91;4,53;5,25;5,0;1;1;2007
2007-02-01;6,71;5,64;4,91;4,53;5,25;5,0;1;2;2007
2007-03-01;6,69;5,63;4,91;4,53;5,24;4,98;1;3;2007
2007-04-01;6,61;5,55;4,85;4,48;5,16;4,9;1;4;2007
2007-05-01;6,54;5,49;4,79;4,43;5,12;4,87;1;5;2007
2007-06-01;6,49;5,46;4,74;4,39;5,09;4,84;1;6;2007
2007-07-01;6,47;5,44;4,74;4,38;5,07;4,83;1;7;2007
2007-08-01;6,47;5,44;4,74;4,39;5,08;4,83;1;8;2007
2007-09-01;6,52;5,5;4,81;4,45;5,13;4,88;1;9;2007
2007-10-01;6,51;5,5;4,81;4,45;5,13;4,87;1;10;2007
2007-11-01;6,57;5,58;4,83;4,47;5,22;4,95;1;11;2007
2007-12-01;6,6;5,62;4,87;4,5;5,25;4,98;1;12;2007
2008-01-01;6,91;5,89;5,23;4,87;5,51;5,25;1;1;2008
2008-02-01;6,96;6,07;5,44;5,1;5,71;5,44;1;2;2008
2008-03-01;7,02;6,13;5,46;5,12;5,77;5,5;1;3;2008
2008-04-01;7,08;6,2;5,52;5,18;5,83;5,57;1;4;2008
2008-05-01;7,26;6,27;5,54;5,21;5,9;5,61;1;5;2008
2008-06-01;7,33;6,33;5,65;5,32;5,96;5,66;1;6;2008
2008-07-01;7,33;6,33;5,65;5,32;5,96;5,66;1;7;2008
2008-08-01;7,39;6,38;5,71;5,37;6,0;5,71;1;8;2008
2008-09-01;7,62;6,59;5,97;5,65;6,21;5,93;1;9;2008
2008-10-01;7,71;6,68;6,09;5,77;6,31;6,02;1;10;2008
2008-11-01;7,9;6,86;6,23;5,91;6,47;6,18;1;11;2008
2008-12-01;7,91;6,87;6,24;5,93;6,48;6,19;1;12;2008
