Timestamp;K1;K2;L1;L2;M1;M2
01/01/1997;4,82;4,38;3,45;2,77;4,26;3,66
01/02/1997;4,82;4,38;3,45;2,77;4,26;3,66
01/03/1997;4,82;4,38;3,45;2,77;4,26;3,66
01/04/1997;4,83;4,39;3,42;2,75;4,28;3,65
01/05/1997;4,83;4,39;3,42;2,75;4,28;3,65
01/06/1997;4,83;4,39;3,42;2,75;4,28;3,65
01/07/1997;4,83;4,39;3,42;2,75;4,28;3,65
01/08/1997;4,83;4,39;3,42;2,75;4,28;3,65
01/09/1997;4,79;4,36;3,35;2,74;4,23;3,62
01/10/1997;4,79;4,36;3,35;2,74;4,23;3,62
01/11/1997;4,79;4,37;3,4;2,74;4,24;3,63
01/12/1997;4,79;4,37;3,4;2,74;4,24;3,63
01/01/1998;4,76;4,36;3,42;2,78;4,23;3,64
01/02/1998;4,76;4,36;3,42;2,78;4,23;3,64
01/03/1998;4,75;4,36;3,4;2,76;4,21;3,62
01/04/1998;4,76;4,36;3,41;2,78;4,22;3,61
01/05/1998;4,71;4,32;3,39;2,77;4,19;3,59
01/06/1998;4,7;4,31;3,38;2,75;4,18;3,58
01/07/1998;4,69;4,31;3,37;2,75;4,18;3,58
01/08/1998;4,67;4,3;3,36;2,74;4,17;3,57
01/09/1998;4,52;4,17;3,24;2,65;3,98;3,41
01/10/1998;4,46;4,13;3,18;2,6;3,93;3,36
01/11/1998;4,18;3,92;3,02;2,47;3,61;3,18
01/12/1998;4,17;3,91;3,01;2,47;3,6;3,18
01/01/1999;4,12;3,88;2,98;2,43;3,52;3,13
01/02/1999;4,12;3,87;2,98;2,43;3,52;3,13
01/03/1999;4,11;3,86;2,96;2,42;3,51;3,12
01/04/1999;4,08;3,84;2,94;2,4;3,48;3,1
01/05/1999;4,07;3,84;2,94;2,4;3,47;3,09
01/06/1999;4,06;3,83;2,92;2,38;3,46;3,08
01/07/1999;4,03;3,81;2,89;2,35;3,42;3,06
01/08/1999;4,03;3,81;2,89;2,35;3,42;3,06
01/09/1999;3,99;3,77;2,87;2,34;3,37;3,03
01/10/1999;3,97;3,76;2,86;2,33;3,36;3,01
01/11/1999;3,96;3,75;2,85;2,32;3,35;3,01
01/12/1999;3,96;3,75;2,84;2,32;3,34;3
01/01/2000;3,96;3,73;2,84;2,32;3,31;2,98
01/02/2000;3,95;3,72;2,82;2,31;3,3;2,98
01/03/2000;3,95;3,72;2,82;2,3;3,3;2,98
01/04/2000;3,95;3,72;2,82;2,3;3,3;2,98
01/05/2000;3,94;3,72;2,82;2,3;3,29;2,98
01/06/2000;3,94;3,71;2,82;2,3;3,29;2,97
01/07/2000;3,94;3,7;2,8;2,3;3,23;2,94
01/08/2000;3,94;3,7;2,8;2,29;3,23;2,94
01/09/2000;3,93;3,67;2,79;2,28;3,19;2,9
01/10/2000;3,99;3,67;2,78;2,27;3,18;2,9
01/11/2000;3,98;3,67;2,77;2,27;3,18;2,89
01/12/2000;3,98;3,67;2,77;2,27;3,18;2,89
01/01/2001;3,98;3,66;2,76;2,26;3,16;2,88
01/02/2001;3,98;3,66;2,77;2,27;3,15;2,88
01/03/2001;3,99;3,67;2,77;2,28;3,15;2,88
01/04/2001;3,99;3,67;2,78;2,28;3,16;2,88
01/05/2001;4,02;3,69;2,79;2,29;3,18;2,9
01/06/2001;4,08;3,72;2,83;2,33;3,23;2,94
01/07/2001;4,19;3,79;2,87;2,39;3,29;2,99
01/08/2001;4,24;3,82;2,91;2,42;3,32;3,01
01/09/2001;4,34;3,9;3,02;2,54;3,42;3,1
01/10/2001;4,44;3,97;3,09;2,61;3,48;3,16
01/11/2001;4,45;3,99;3,1;2,62;3,5;3,17
01/12/2001;4,45;3,99;3,1;2,63;3,51;3,18
01/01/2002;4,53;4,05;3,18;2,72;3,57;3,24
01/02/2002;4,53;4,05;3,18;2,72;3,57;3,24
01/03/2002;4,54;4,05;3,19;2,73;3,57;3,25
01/04/2002;4,55;4,07;3,2;2,74;3,58;3,26
01/05/2002;4,56;4,07;3,2;2,74;3,59;3,26
01/06/2002;4,59;4,09;3,21;2,75;3,61;3,28
01/07/2002;4,59;4,09;3,21;2,75;3,61;3,28
01/08/2002;4,69;4,14;3,26;2,8;3,66;3,32
01/09/2002;4,69;4,14;3,26;2,8;3,66;3,32
01/10/2002;4,7;4,14;3,26;2,81;3,67;3,32
01/11/2002;4,73;4,17;3,27;2,82;3,69;3,34
01/12/2002;4,76;4,19;3,3;2,85;3,72;3,39
01/01/2003;5;4,39;3,46;3,03;3,88;3,53
01/02/2003;5,22;4,58;3,69;3,25;4,02;3,68
01/03/2003;5,45;4,8;3,88;3,42;4,19;3,84
01/04/2003;5,77;4,98;4,13;3,67;4,46;4,12
01/05/2003;5,81;4,99;4,17;3,71;4,5;4,16
01/06/2003;5,81;4,99;4,18;3,72;4,5;4,16
01/07/2003;5,8;4,96;4,17;3,71;4,51;4,17
01/08/2003;5,83;5;4,18;3,72;4,53;4,19
01/09/2003;5,83;5;4,18;3,72;4,53;4,19
01/10/2003;5,84;5;4,19;3,73;4,54;4,2
01/11/2003;5,86;5,01;4,2;3,74;4,56;4,21
01/12/2003;5,87;5,02;4,21;3,75;4,57;4,22
01/01/2004;5,92;5,06;4,25;3,8;4,61;4,27
01/02/2004;5,93;5,08;4,26;3,81;4,63;4,28
01/03/2004;5,93;5,07;4,26;3,81;4,63;4,28
01/04/2004;5,74;4,85;4,11;3,69;4,46;4,12
01/05/2004;5,71;4,82;4,08;3,67;4,43;4,09
01/06/2004;5,71;4,81;4,07;3,66;4,42;4,09
01/07/2004;5,7;4,81;4,06;3,65;4,42;4,08
01/08/2004;5,7;4,81;4,06;3,65;4,42;4,08
01/09/2004;5,7;4,81;4,06;3,65;4,42;4,08
01/10/2004;5,66;4,77;4,03;3,62;4,39;4,06
01/11/2004;5,67;4,77;4,03;3,63;4,39;4,06
01/12/2004;5,67;4,77;4,03;3,63;4,39;4,06
01/01/2005;5,64;4,75;4,03;3,64;4,38;4,05
01/02/2005;5,58;4,72;3,99;3,62;4,36;4,02
01/03/2005;5,57;4,71;3,98;3,61;4,35;4,01
01/04/2005;5,52;4,67;3,95;3,59;4,31;3,99
01/05/2005;5,46;4,62;3,92;3,57;4,28;3,96
01/06/2005;5,47;4,62;3,92;3,57;4,28;3,96
01/07/2005;5,46;4,61;3,92;3,57;4,27;3,95
01/08/2005;5,46;4,61;3,92;3,57;4,27;3,95
01/09/2005;5,62;4,72;4,06;3,7;4,37;4,06
01/10/2005;5,69;4,78;4,1;3,74;4,43;4,13
01/11/2005;5,74;4,82;4,15;3,8;4,48;4,17
01/12/2005;5,78;4,84;4,18;3,82;4,49;4,21
01/01/2006;5,94;4,96;4,31;3,96;4,6;4,33
01/02/2006;5,94;4,97;4,33;3,98;4,62;4,34
01/03/2006;6;5,07;4,39;4,02;4,7;4,45
01/04/2006;6,03;5,09;4,41;4,05;4,71;4,47
01/05/2006;6,08;5,13;4,43;4,07;4,75;4,51
01/06/2006;6,27;5,25;4,56;4,19;4,86;4,61
01/07/2006;6,34;5,3;4,64;4,26;4,92;4,67
01/08/2006;6,42;5,37;4,67;4,3;4,99;4,74
01/09/2006;6,43;5,38;4,69;4,31;5;4,75
01/10/2006;6,45;5,4;4,71;4,33;5,02;4,77
01/11/2006;6,59;5,52;4,82;4,44;5,13;4,88
01/12/2006;6,64;5,57;4,85;4,47;5,19;4,93
01/01/2007;6,72;5,64;4,91;4,53;5,25;5
01/02/2007;6,71;5,64;4,91;4,53;5,25;5
01/03/2007;6,69;5,63;4,91;4,53;5,24;4,98
01/04/2007;6,61;5,55;4,85;4,48;5,16;4,9
01/05/2007;6,54;5,49;4,79;4,43;5,12;4,87
01/06/2007;6,49;5,46;4,74;4,39;5,09;4,84
01/07/2007;6,47;5,44;4,74;4,38;5,07;4,83
01/08/2007;6,47;5,44;4,74;4,39;5,08;4,83
01/09/2007;6,52;5,5;4,81;4,45;5,13;4,88
01/10/2007;6,51;5,5;4,81;4,45;5,13;4,87
01/11/2007;6,57;5,58;4,83;4,47;5,22;4,95
01/12/2007;6,6;5,62;4,87;4,5;5,25;4,98
01/01/2008;6,91;5,89;5,23;4,87;5,51;5,25
01/02/2008;6,96;6,07;5,44;5,1;5,71;5,44
01/03/2008;7,02;6,13;5,46;5,12;5,77;5,5
01/04/2008;7,08;6,2;5,52;5,18;5,83;5,57
01/05/2008;7,26;6,27;5,54;5,21;5,9;5,61
01/06/2008;7,33;6,33;5,65;5,32;5,96;5,66
01/07/2008;7,33;6,33;5,65;5,32;5,96;5,66
01/08/2008;7,39;6,38;5,71;5,37;6;5,71
01/09/2008;7,62;6,59;5,97;5,65;6,21;5,93
01/10/2008;7,71;6,68;6,09;5,77;6,31;6,02
01/11/2008;7,9;6,86;6,23;5,91;6,47;6,18
01/12/2008;7,91;6,87;6,24;5,93;6,48;6,19
01/01/2009;8,13;6,9;6,26;5,94;6,5;6,21
01/02/2009;8,17;6,93;6,3;5,98;6,53;6,24
01/03/2009;8,14;6,91;6,28;5,96;6,5;6,22
01/04/2009;8,11;6,88;6,26;5,95;6,48;6,19
01/05/2009;7,82;6,77;6,16;5,85;6,37;6,09
01/06/2009;7,78;6,73;6,11;5,79;6,33;6,05
01/07/2009;7,75;6,7;6,09;5,78;6,3;6,02
01/08/2009;7,64;6,61;5,95;5,63;6,21;5,93
01/09/2009;7,63;6,59;5,95;5,63;6,2;5,91
01/10/2009;7,68;6,64;6,02;5,71;6,24;5,96
01/11/2009;7,8;6,76;6,16;5,85;6,37;6,08
01/12/2009;7,8;6,76;6,16;5,85;6,37;6,08
